,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.013171235,0.98419434,0.000108384935,0.0008845692,2.7623455e-05,0.00016795551,0.0014457902,6.6415824e-09
1,0.058762386,0.8609836,0.0022692715,0.004365494,4.3273223e-05,0.030973023,0.04260172,1.3036612e-06
2,0.14528163,0.7821957,0.007300244,0.00449101,0.00027633194,0.05371348,0.0067148264,2.6821062e-05
3,0.25802854,0.49019212,0.03456819,0.054938093,0.006256295,0.12700062,0.02490193,0.0041142246
4,0.25335112,0.5275534,0.003820883,0.003102237,5.177581e-05,0.13735795,0.07474123,2.1452412e-05
5,0.06776731,0.64095175,0.10231127,0.09902767,0.08764467,0.00055623846,0.0010354599,0.0007056305
6,0.07124303,0.9177788,0.0012098472,0.0028146333,7.148128e-05,0.0012236557,0.0056582447,2.0302639e-07
7,0.11598374,0.37379515,0.042973507,0.33436352,0.026850183,0.030720523,0.07416512,0.0011482511
8,0.016651118,0.98009455,4.4101653e-05,0.0004474764,3.5963556e-05,7.228706e-05,0.0026544714,4.339947e-09
9,0.13407914,0.81018764,0.020040827,0.010593015,0.0027461504,0.004459937,0.017807122,8.621741e-05
10,0.19120853,0.56820023,0.03435031,0.07004128,0.018195774,0.086418234,0.026512153,0.005073497
11,0.2459163,0.61270595,0.028471293,0.028639687,0.055226065,0.002369031,0.026612395,5.9308044e-05
12,0.11614003,0.7870079,0.03266864,0.03944751,0.01589276,0.0010595223,0.007713121,7.053402e-05
13,0.06864805,0.92090976,0.0012931178,0.0032519705,0.00064752524,0.00029431857,0.0049548615,4.4864805e-07
14,0.12174287,0.7533428,0.023997294,0.05298955,0.041674707,0.00035242294,0.005824055,7.624151e-05
15,0.088991165,0.89337844,0.0017613962,0.009126228,0.0045244023,0.00015092835,0.0020662404,1.2056398e-06
16,0.12955523,0.79772204,0.018479945,0.021154309,0.0058138156,0.0007208725,0.026548885,4.83082e-06
17,0.0012316753,0.9958448,1.202516e-06,0.00039026802,1.4826729e-06,0.00029463015,0.0022360068,1.1853729e-13
18,0.19591781,0.23934004,0.055082597,0.28523117,0.023488853,0.16412045,0.021949891,0.01486921
19,0.2792338,0.65146583,0.013239558,0.014394525,0.01742853,0.0044811275,0.019190194,0.0005664457
20,0.2678319,0.54810965,0.020686531,0.043717265,0.06757342,0.0024793926,0.04883541,0.0007664528
21,0.32544592,0.57034814,0.0075848666,0.01805762,0.06910199,0.0010042364,0.008271695,0.00018548824
22,0.15235081,0.63010544,0.014051789,0.10731438,0.06496608,0.0005064993,0.030621773,8.324581e-05
23,0.26569927,0.6943634,0.0033142508,0.0024188657,0.0025325594,0.0010924058,0.030568954,1.031485e-05
24,0.29001543,0.6869001,0.0028468235,0.0031201264,0.0034868228,0.0040846923,0.00954109,4.9198643e-06
25,0.19031401,0.4632812,0.05799374,0.119289726,0.14854148,0.0059502707,0.014190828,0.00043876175
26,0.008206244,0.73218876,0.00020816032,0.003681688,7.470478e-05,0.2481594,0.0074810763,2.8649367e-09
27,0.09771383,0.74521667,0.0021032381,0.004398344,5.596355e-05,0.14567454,0.004833507,3.9576657e-06
28,0.0024108042,0.98333454,6.501789e-05,0.013019372,0.00056557293,4.3513945e-05,0.00056118495,8.405443e-10
29,0.05963919,0.9323631,0.001007532,0.001436384,0.0027494272,0.0002793354,0.0025249636,1.6287816e-08
30,0.30628398,0.44277394,0.0404681,0.04966496,0.12805708,0.0024344956,0.029217673,0.0010997347
31,0.2074046,0.52763265,0.058175713,0.017183341,0.060933687,0.006764851,0.1215574,0.00034777983
32,0.26384336,0.43740267,0.0373519,0.04348644,0.18509616,0.0007233196,0.027141202,0.004954911
33,0.24766192,0.42179626,0.05790457,0.031976026,0.19812408,0.00059452903,0.02710646,0.0148361875
34,0.26506776,0.38998514,0.05410242,0.042066433,0.2084801,0.00054713595,0.030367486,0.00938349
35,0.36384556,0.413716,0.03501384,0.016830295,0.12873274,0.0009770563,0.029701531,0.011183053
36,0.2671476,0.43151343,0.052342083,0.024281949,0.1877638,0.0005198316,0.023752026,0.012679311
37,0.19667453,0.4711728,0.07244121,0.032042705,0.18469198,0.0013042152,0.03899738,0.002675118
38,0.24318984,0.7072204,0.00451025,0.005996342,0.009407321,0.0007223811,0.028925033,2.8371529e-05
39,0.24120063,0.65048516,0.003310721,0.002073445,0.00015095757,0.006261498,0.096508935,8.657052e-06
40,0.21601567,0.73927826,0.002287538,0.0006472307,0.00012471026,0.01897295,0.022673374,3.003317e-07
41,0.26451057,0.69136614,0.005528882,0.004028856,0.002935935,0.0027134106,0.028907932,8.335388e-06
42,0.23429038,0.5921061,0.034332227,0.037910394,0.078512184,0.003196552,0.019471765,0.00018038618
43,0.013010956,2.8142284e-05,1.428132e-06,0.000110089735,3.7340686e-09,0.0020950602,0.9847543,1.5486761e-12
44,0.24846725,0.6431213,0.017344384,0.0056763813,0.07436619,0.00068251806,0.010323961,1.8040133e-05
45,0.25267634,0.39320764,0.06683899,0.040947285,0.20513692,0.0008016267,0.030082833,0.010308387
46,0.24162795,0.5899217,0.028203176,0.052191757,0.0570974,0.0032151025,0.027243536,0.000499431
47,0.35796607,0.42662638,0.031930342,0.019192245,0.12388842,0.00052436884,0.032053575,0.007818596
48,0.29169375,0.47805864,0.04225036,0.010399772,0.13270909,0.0003520072,0.029184574,0.015351841
49,0.2669155,0.43628988,0.04389572,0.021222062,0.20672621,0.0003123661,0.015990635,0.008647629
50,0.25172314,0.3576716,0.08146139,0.033029344,0.22334157,0.0009500633,0.03346144,0.018361427
51,0.23039478,0.44356945,0.07222615,0.017210837,0.18071719,0.001150235,0.03745704,0.017274326
52,0.31002533,0.5013807,0.037254617,0.00785943,0.09421374,0.00080498884,0.043357216,0.005104043
53,0.32556203,0.48831737,0.038202826,0.00813328,0.08313755,0.0017601161,0.052326735,0.0025601326
54,0.32142192,0.44068253,0.036896683,0.03972696,0.096024334,0.0027634958,0.05735035,0.0051337057
55,0.2219405,0.5314595,0.046269383,0.01271203,0.13630092,0.0028173581,0.047910023,0.00059026026
56,0.3408373,0.46878648,0.032618452,0.02746703,0.08304942,0.005141364,0.040522523,0.0015774072
57,0.076456554,0.9007691,0.0014206696,0.0025616898,0.000107788306,0.00072828034,0.017955316,6.366405e-07
58,0.17018461,0.8183263,0.0012372794,0.0005518695,0.0007689622,0.0013322796,0.007597977,7.456921e-07
59,0.40077236,0.44578317,0.019996466,0.009645546,0.08557945,0.0009394401,0.029830394,0.0074532493
60,0.26092014,0.43601954,0.05785249,0.020862132,0.17522845,0.00059892924,0.031461556,0.01705677
61,0.37794918,0.42584684,0.027013615,0.009921708,0.12619808,0.00072124094,0.021950405,0.010398886
62,0.30317685,0.4217785,0.056893867,0.025215492,0.14669898,0.001076051,0.03686243,0.008297823
63,0.29350126,0.4184804,0.048917834,0.018447248,0.18192361,0.00036175206,0.02645209,0.011915713
64,0.28297523,0.39179578,0.05528677,0.023948628,0.20210412,0.0009578045,0.026127597,0.01680406
65,0.29799706,0.431316,0.046838228,0.014135427,0.16985089,0.0010840532,0.029922167,0.00885615
66,0.28825742,0.4482469,0.045529522,0.013384552,0.16595317,0.0004784756,0.025654806,0.012495121
67,0.27189007,0.40153566,0.07011459,0.024202747,0.1701816,0.00092978217,0.047862146,0.013283357
68,0.22191575,0.5214372,0.042869322,0.024555953,0.16106738,0.00026145868,0.025587125,0.002305794
69,0.22189814,0.41775882,0.075207256,0.025126953,0.20961927,0.0009162911,0.031733256,0.01774001
70,0.26698446,0.2850406,0.06705864,0.08972301,0.24431929,0.0024869817,0.02828113,0.016105872
71,0.16769107,0.6288016,0.030181682,0.08310767,0.0404401,0.0019374827,0.047534052,0.00030636322
72,0.15448277,0.46430078,0.077829055,0.12325085,0.063274615,0.029291557,0.08654432,0.0010260083
73,0.14850841,0.67227656,0.036177095,0.0492043,0.0023312052,0.06753997,0.023806725,0.00015578221
74,0.15708229,0.8043098,0.0011968601,0.0013866515,0.0001413381,0.004960473,0.030922547,9.639538e-08
75,0.33730274,0.43415695,0.030556725,0.017375387,0.161828,0.0024236608,0.015188382,0.0011680842
76,0.29761055,0.50453615,0.0359355,0.0098682465,0.11410506,0.00036096186,0.021908594,0.015675033
77,0.29867193,0.46510646,0.03717138,0.0123134,0.13849506,0.00039046904,0.02549633,0.022355031
78,0.24567808,0.3571549,0.077796936,0.029566117,0.23573714,0.00065655727,0.029319867,0.024090383
79,0.27316055,0.36321843,0.09457585,0.026937224,0.17163411,0.0030430143,0.04939504,0.018035749
80,0.18975307,0.14292292,0.16544303,0.07618524,0.34156248,0.0026102918,0.036846742,0.044676222
81,0.23371173,0.37731463,0.07598557,0.034038693,0.23068608,0.00073667074,0.027660292,0.019866332
82,0.30061895,0.3705659,0.049409878,0.023977265,0.214818,0.00047085813,0.023032537,0.017106663
83,0.29497814,0.4327382,0.05164035,0.013172663,0.1634433,0.00092008844,0.029601976,0.013505234
84,0.25018546,0.3351336,0.099735804,0.041201875,0.19747397,0.0020005167,0.057636306,0.016632417
85,0.27999172,0.4167629,0.042878367,0.026753893,0.20195669,0.0003055184,0.019056411,0.012294463
86,0.26125517,0.37794802,0.05629933,0.031595543,0.22601646,0.00057260384,0.0222645,0.024048364
87,0.35160425,0.45303935,0.041316792,0.008366727,0.09114165,0.0010310017,0.04392161,0.009578631
88,0.25462863,0.47535428,0.056604665,0.05446387,0.099434,0.002780827,0.054761868,0.001971917
89,0.13368395,0.5578649,0.07452335,0.116464876,0.045118373,0.007131379,0.06326742,0.0019457547
90,0.1909622,0.5894547,0.056266557,0.070646584,0.014158476,0.009221517,0.069166854,0.00012316172
91,0.083043985,0.27217373,0.023335101,0.34824374,0.026153946,0.011190532,0.2356805,0.00017853637
92,0.0021525,0.9893411,4.4509437e-05,0.004838536,0.002553198,0.00072477263,0.00034533403,7.0322047e-12
93,0.24151492,0.4762891,0.04319097,0.049586937,0.00984378,0.12208164,0.05150281,0.005989868
94,0.32167137,0.38606167,0.038968567,0.035661124,0.18885662,0.0013075913,0.022350237,0.005122824
95,0.3060365,0.43919772,0.04628028,0.011373313,0.15052912,0.0007288161,0.028585149,0.01726905
96,0.2788515,0.41077453,0.053129453,0.016017042,0.187033,0.0006249534,0.02687367,0.026695864
97,0.1872417,0.028795358,0.21275806,0.09811062,0.38570285,0.0028116126,0.038748436,0.045831338
98,0.19148113,0.15366751,0.15070523,0.051550746,0.27242592,0.0041518593,0.08357974,0.09243783
99,0.20678155,0.0045434264,0.21293299,0.09221668,0.3933444,0.0026178814,0.042088896,0.045474213
100,0.19348247,0.006386686,0.20791978,0.104007244,0.36474162,0.005154725,0.05807441,0.06023306
101,0.20989199,0.18594383,0.12042016,0.063484974,0.285842,0.004318862,0.05287234,0.07722582
102,0.29662323,0.40996718,0.043218505,0.021435523,0.18952256,0.00053367903,0.024074288,0.014625012
103,0.2861049,0.41411796,0.044406824,0.020882066,0.20011318,0.0006265285,0.016935335,0.016813235
104,0.27459046,0.40158582,0.050018094,0.021986106,0.21750166,0.00044116323,0.021530159,0.012346482
105,0.29184723,0.4230187,0.045575175,0.023070667,0.17692758,0.0005055692,0.02360805,0.015447012
106,0.25881594,0.33011812,0.07902175,0.060510676,0.18737918,0.005713259,0.055236258,0.023204781
107,0.18802083,0.41748124,0.07361585,0.13942866,0.118859425,0.0040095104,0.054632742,0.003951724
