,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.0736931,0.9096316,0.00025323336,0.0025055702,0.0036417677,0.0010275615,0.009240976,6.273331e-06
1,0.12482373,0.6080373,0.09618199,0.036785107,0.010614347,0.06299424,0.059114605,0.0014486883
2,0.15144773,0.6937344,0.049617205,0.045603037,0.014046556,0.019200997,0.025214264,0.0011357564
3,0.12452286,0.6069689,0.0966972,0.036115285,0.010368458,0.06379181,0.060089618,0.0014458847
4,0.23610605,0.44722807,0.15735102,0.0161535,0.003008875,0.11260536,0.026824472,0.0007226484
5,0.053005233,0.66487426,0.08920138,0.17750457,0.004623314,0.005807434,0.0045819245,0.0004019063
6,0.11221346,0.8233703,0.00805777,0.014897165,0.0021086042,0.012486308,0.026743522,0.00012277234
7,0.13856666,0.7576744,0.011126922,0.014971035,0.0031527271,0.018456109,0.055804085,0.00024806315
8,0.1713455,0.7697495,0.012357783,0.010924327,0.003470194,0.011162832,0.020871932,0.000117889744
9,0.17105478,0.7701576,0.012309538,0.010900362,0.0034626385,0.011143473,0.020854242,0.00011735267
10,0.12531656,0.60974574,0.09532733,0.03744018,0.010836102,0.06189772,0.057989452,0.0014469643
11,0.15611629,0.6927434,0.047373578,0.04626252,0.015684323,0.016589705,0.024096612,0.0011336078
12,0.15666953,0.6922282,0.047185615,0.046585243,0.015962077,0.016319552,0.0239147,0.0011350813
13,0.15669517,0.7968401,0.00643676,0.0073629282,0.0018869117,0.0020240091,0.028654657,9.959701e-05
14,0.12013288,0.75309515,0.052945353,0.042962242,0.0043213074,0.010664438,0.015557241,0.00032139735
15,0.11221346,0.8233703,0.008057824,0.014897253,0.002108613,0.012486318,0.02674343,0.00012277273
16,0.13890289,0.7563777,0.011197719,0.014901802,0.0031526256,0.018768704,0.056449156,0.00024947576
17,0.13853024,0.75750387,0.0109725995,0.014819133,0.003173138,0.018198427,0.05655493,0.00024766085
18,0.22146186,0.6611593,0.02975231,0.029638596,0.008486082,0.018994397,0.030046608,0.0004609281
19,0.22055666,0.6616487,0.029875513,0.029775731,0.008463689,0.019188736,0.030030195,0.00046087703
20,0.21532305,0.5772039,0.032747667,0.046526447,0.06647342,0.0024933065,0.055785906,0.0034463415
21,0.20285356,0.6760805,0.023870395,0.035388365,0.020543175,0.006624109,0.033822186,0.0008177083
22,0.16710389,0.69211924,0.04268954,0.043725584,0.017481282,0.012166648,0.02363125,0.001082566
23,0.25216794,0.6831951,0.008759905,0.0109631205,0.009564819,0.00065716595,0.034381635,0.00031038618
24,0.2765027,0.6367748,0.01961958,0.011352409,0.010392146,0.0007122957,0.04415146,0.00049460493
25,0.22375362,0.42773733,0.1334573,0.10205622,0.05946385,0.005362942,0.04461584,0.0035528727
26,0.12643984,0.7880038,0.009696042,0.015081394,0.002635291,0.01668746,0.041270737,0.00018553081
27,0.13857314,0.7576753,0.01112539,0.014968366,0.0031525448,0.018450899,0.055806376,0.00024804892
28,0.16341016,0.7640368,0.0066745114,0.0056809564,0.0061479416,0.0002446415,0.053645846,0.0001591533
29,0.23224588,0.70555025,0.0020178808,0.013611695,0.007827127,0.0017078073,0.03690224,0.0001370666
30,0.22476126,0.51139814,0.06691089,0.05287592,0.0691086,0.0019234756,0.063055106,0.009966586
31,0.13567196,0.597192,0.08897662,0.03349906,0.06070596,0.0006901777,0.068362884,0.014901437
32,0.13070211,0.6021554,0.09138528,0.03276645,0.059781156,0.000645336,0.06739701,0.015167315
33,0.13365647,0.59769905,0.09058048,0.03318949,0.061534643,0.00065893395,0.06744064,0.015240396
34,0.1805558,0.51135415,0.083219565,0.04315329,0.105488874,0.0009949154,0.058932602,0.016300809
35,0.190308,0.57932603,0.06878068,0.03384345,0.050764807,0.0015516245,0.060885817,0.014539583
36,0.19031052,0.5795052,0.06874099,0.03381758,0.050640967,0.0015531019,0.06089376,0.014537731
37,0.2019311,0.53002864,0.08955941,0.03122657,0.054040715,0.001723108,0.076211736,0.015278811
38,0.19565836,0.69526196,0.0024534592,0.005065636,0.014523461,0.00017016691,0.08655172,0.00031526384
39,0.206187,0.60106474,0.015565895,0.0129967015,0.0056928284,0.013131974,0.14486505,0.0004958403
40,0.24170429,0.620137,0.038738385,0.02243012,0.009421763,0.010076118,0.05665794,0.0008344986
41,0.16317911,0.76418287,0.0066412548,0.0056774076,0.0061496785,0.00024421536,0.053766582,0.00015894105
42,0.1609735,0.7656563,0.0063596456,0.0056455648,0.005990029,0.00025429294,0.054966036,0.00015467416
43,0.23897386,0.6166478,0.012031162,0.034279473,0.048687182,0.00089454104,0.04691895,0.0015670286
44,0.23177914,0.70597965,0.0019613479,0.013206056,0.007787906,0.0016084277,0.037540313,0.00013713607
45,0.21339262,0.5335739,0.06547847,0.04795684,0.06467464,0.0018283082,0.061457403,0.011637768
46,0.14544798,0.58521503,0.08666502,0.034080148,0.06383748,0.0007651597,0.068765394,0.015223806
47,0.1545311,0.57256913,0.084185734,0.035405464,0.0688501,0.0008559399,0.068567775,0.015034757
48,0.13360445,0.59775066,0.09063846,0.0331669,0.061510794,0.0006605528,0.06745652,0.015211553
49,0.1902869,0.5794125,0.06876265,0.033833712,0.050721735,0.0015511496,0.060891364,0.014539911
50,0.18967432,0.5738721,0.07027666,0.034780856,0.055163324,0.0015058144,0.059800364,0.014926563
51,0.1899662,0.5766758,0.069509804,0.034295052,0.05294353,0.0015294991,0.060352795,0.014727325
52,0.15195975,0.64697546,0.059540153,0.015982052,0.03994051,0.0010322195,0.0681126,0.016457248
53,0.19387074,0.619691,0.054527197,0.007922474,0.018518096,0.0015686804,0.09257991,0.01132194
54,0.2642532,0.5662684,0.053104095,0.02822552,0.01509486,0.0121402815,0.05961013,0.0013035359
55,0.2626197,0.5673619,0.05384306,0.028529499,0.015034206,0.012230931,0.059087314,0.0012933752
56,0.2587419,0.5787157,0.051708654,0.026775062,0.0142347105,0.010820016,0.05782945,0.0011745185
57,0.15915212,0.76566863,0.0062502874,0.005694472,0.0058654193,0.00027254125,0.056941908,0.0001545173
58,0.22791229,0.71136427,0.0018018308,0.01251598,0.0073767668,0.0014854473,0.037416596,0.00012684603
59,0.23440503,0.7022636,0.0018012982,0.013507536,0.008266721,0.0015936362,0.038022403,0.00013977793
60,0.19402762,0.5677171,0.064946175,0.041835397,0.056735624,0.0017298016,0.05831664,0.014691692
61,0.2068966,0.5035535,0.077867396,0.0407526,0.100287184,0.00204481,0.052984048,0.015613858
62,0.14097981,0.59119385,0.08759619,0.033728212,0.062006,0.00072838395,0.06862065,0.015146931
63,0.14508167,0.5841002,0.08726943,0.034153197,0.064802565,0.00074940483,0.0685573,0.01528622
64,0.18529893,0.5291684,0.08174829,0.045028068,0.08892476,0.0011677546,0.047023546,0.021640193
65,0.19008698,0.57811254,0.06912711,0.034042012,0.051822778,0.0015403163,0.060632944,0.014635282
66,0.19001089,0.5765897,0.06950978,0.03431639,0.05297402,0.0015294419,0.060341794,0.014728017
