,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.018780116,0.96891713,0.0029903122,0.006711041,0.0014759249,0.0010246169,6.7158086e-05,3.3649405e-05
1,0.08421152,0.8503057,0.03916168,0.012044902,0.0034342592,0.010668745,3.0706346e-05,0.00014253009
2,0.09556153,0.8399559,0.021226408,0.0058499156,0.0045940266,0.03238361,0.00024463332,0.0001839798
3,0.15218195,0.6022142,0.06335557,0.042454753,0.01983515,0.118575156,0.000455153,0.0009281125
4,0.21414147,0.53055143,0.08303872,0.043027602,0.036868554,0.08787921,0.001955915,0.002537107
5,0.06798799,0.65086395,0.03411294,0.08587305,0.1585058,0.00083460263,0.00057967484,0.0012419525
6,0.054952525,0.9148746,0.0069152727,0.015690535,0.003002028,0.004142051,0.00039025626,3.281865e-05
7,0.07432479,0.62867695,0.0965211,0.108583584,0.01876916,0.071302675,0.0006777494,0.0011439681
8,0.024463542,0.9594029,0.00472214,0.008528088,0.002050427,0.0007010122,0.00011679711,1.4983161e-05
9,0.071195394,0.8522744,0.010111009,0.043929424,0.02074632,0.0014540266,8.999689e-05,0.00019933881
10,0.093204826,0.6671448,0.06922542,0.05985083,0.038698748,0.069705375,0.00015033814,0.0020196359
11,0.1802398,0.68423223,0.044517204,0.023086287,0.055292886,0.010877367,7.931513e-05,0.0016748718
12,0.09109499,0.77667284,0.015125246,0.06729708,0.04740064,0.0014932896,0.0006560688,0.00025983836
13,0.06014369,0.9201826,0.005450942,0.0071594953,0.0018476368,0.0039823614,0.0012118891,2.1415934e-05
14,0.071012095,0.808485,0.011838612,0.0686099,0.03814412,0.0010195348,0.0006774631,0.00021335657
15,0.050317265,0.92568564,0.0052809725,0.013561631,0.0025996256,0.0019210428,0.0006183873,1.5566462e-05
16,0.07827424,0.84695715,0.016880652,0.039739706,0.009819809,0.007848166,0.00033067618,0.00014957039
17,0.013074687,0.9550487,0.010617988,0.015627101,0.0016223958,0.0039413976,3.3068518e-05,3.473584e-05
18,0.12304086,0.5601041,0.1450899,0.042820152,0.07146989,0.05327315,0.00022436207,0.003977611
19,0.1524246,0.79794735,0.015199393,0.01660048,0.015029423,0.0025099737,7.1045586e-05,0.00021763406
20,0.16294248,0.61038035,0.046338744,0.064757146,0.10845478,0.005048825,0.00012606989,0.0019515511
