,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.012735528,0.9787446,0.0004001066,0.0012064968,0.0053313277,0.0002627328,0.001287979,3.1118932e-05
1,0.03597594,0.889189,0.003192889,0.0048468127,0.007846355,0.025189573,0.03366,9.949689e-05
2,0.070428245,0.83421564,0.0029976377,0.0018487491,0.034342904,0.052099712,0.0039290856,0.0001380587
3,0.13112499,0.61098737,0.02394203,0.049104977,0.0543271,0.10934134,0.018888146,0.0022839676
4,0.2254501,0.5579362,0.0047348198,0.00818474,0.011699981,0.14566617,0.04602663,0.00030139743
5,0.020116393,0.623907,0.12147023,0.08009668,0.15030898,0.0010676451,0.0019202452,0.0011127576
6,0.037931338,0.9433984,0.0013741328,0.002560536,0.0065830415,0.0018868748,0.006262174,3.490608e-06
7,0.08225795,0.43351445,0.057042807,0.26163778,0.07806103,0.054699235,0.03096573,0.0018209748
8,0.016903816,0.9552014,0.0013679536,0.0003960054,0.022771286,0.00044709715,0.0027844356,0.000128002
9,0.039733384,0.8390956,0.021648554,0.018308604,0.05640808,0.007641335,0.016709827,0.00045464555
10,0.06270841,0.64660627,0.0097222235,0.052253198,0.10769182,0.09187472,0.02430088,0.0048424075
11,0.09368733,0.68594885,0.013566476,0.004752399,0.1726923,0.008611045,0.01993819,0.00080341793
12,0.04826813,0.80629206,0.021042539,0.017690273,0.09619062,0.0026358606,0.0076190596,0.00026140362
13,0.03037606,0.9185886,0.001894302,0.005281453,0.036367696,0.0020430868,0.0054107634,3.8043712e-05
14,0.03257488,0.7353107,0.014241265,0.045519426,0.1634705,0.00069128704,0.007955448,0.00023656305
15,0.031670447,0.8788711,0.00202618,0.008813935,0.07372323,0.00060350297,0.0042113164,8.025652e-05
16,0.044744454,0.7990322,0.014369778,0.046131,0.06778405,0.007047206,0.020791251,0.00010008217
17,0.017751554,0.9712481,0.0009744033,0.0059829527,0.0023901977,0.00073600095,0.0009074966,9.3182325e-06
18,0.17709747,0.27110976,0.041306403,0.20343307,0.13628244,0.15210745,0.007344298,0.011319093
19,0.07376607,0.73540306,0.011411114,0.006354767,0.14850672,0.0062699565,0.01311587,0.0051725027
20,0.054809935,0.5994811,0.007895346,0.057607666,0.2223608,0.0055404184,0.051099777,0.0012049577
21,0.06764825,0.63468975,0.005411884,0.0070491442,0.27682728,0.0023546468,0.0048237476,0.001195308
22,0.04589317,0.64970726,0.010330725,0.09348082,0.1731137,0.0005652,0.026578428,0.0003307192
23,0.08006554,0.8037461,0.0027616462,0.007264777,0.077888094,0.002193176,0.025754625,0.00032601508
24,0.076048054,0.77886087,0.008376,0.0033955532,0.12250149,0.006926099,0.0036175868,0.00027438506
25,0.16471505,0.42876425,0.010206105,0.017713344,0.35499075,0.009251796,0.007136787,0.0072219586
26,0.042681944,0.6518838,0.0019338097,0.01428689,0.009749352,0.27533746,0.0034029614,0.0007238538
27,0.07697148,0.71607524,0.0013466092,0.012121386,0.0113092065,0.17947334,0.002527956,0.00017471373
28,0.01232733,0.9145375,0.0027723794,0.05983176,0.009068567,0.0003006788,0.0011376401,2.4105124e-05
29,0.070657134,0.91563594,0.00014917884,0.0004826819,0.010824382,0.0014453934,0.0007981159,7.1649274e-06
30,0.10551478,0.5763223,0.040430844,0.04341703,0.22030763,0.006525917,0.0066802944,0.00080119283
31,0.15036789,0.62579465,0.016673509,0.036613658,0.061139517,0.009654914,0.09860902,0.0011468101
32,0.05497405,0.5675215,0.00853488,0.017877948,0.30512986,0.0021458985,0.032995466,0.010820406
33,0.08170531,0.50391906,0.040965497,0.013106739,0.3166403,0.0035830075,0.020105049,0.01997507
34,0.100745134,0.45756316,0.045090966,0.013765978,0.33253825,0.002227724,0.031017514,0.017051276
35,0.10958019,0.54677665,0.035192825,0.015067571,0.26135188,0.0051515074,0.014342558,0.012536732
36,0.10774629,0.5211099,0.058757484,0.012986304,0.26183698,0.0044015963,0.018091481,0.015070046
37,0.10794838,0.47926986,0.11488263,0.018733423,0.23937085,0.0047334866,0.029037569,0.0060238554
38,0.03570248,0.7697376,0.0035940069,0.0073508793,0.14517322,0.0016284502,0.036506694,0.00030668534
39,0.18046674,0.6650792,0.0027937298,0.010115128,0.06599107,0.016331155,0.05841928,0.0008036786
40,0.17003725,0.761937,0.0021102868,0.0013905221,0.024891954,0.030973103,0.008366487,0.00029340203
41,0.067938656,0.73802,0.0034045016,0.005885787,0.15759031,0.0040586973,0.022753663,0.0003483697
42,0.087070145,0.6196906,0.026981575,0.018685129,0.22072925,0.013843384,0.011168278,0.0018316836
43,0.14318979,0.776273,0.0077068643,0.011186816,0.014549211,0.010257377,0.03657458,0.00026224513
44,0.12202638,0.7170772,0.0023130432,0.0011485775,0.15138553,0.0013985109,0.0042809616,0.00036976233
45,0.12051276,0.470232,0.056702007,0.03253394,0.2940756,0.0037019025,0.017344795,0.0048970436
46,0.060712833,0.70378125,0.010268786,0.048007637,0.14981405,0.0062523065,0.020879596,0.00028353996
47,0.09706039,0.60657215,0.034823313,0.008805726,0.22580722,0.0012634394,0.016201893,0.009465925
48,0.11198028,0.61733854,0.020550344,0.006538211,0.1945148,0.003545764,0.027416933,0.018115139
49,0.1084064,0.5156923,0.033936124,0.008576064,0.300114,0.003744421,0.013508034,0.016022718
50,0.13642152,0.4212076,0.07394604,0.012946602,0.29941413,0.0058210217,0.030340346,0.019902717
51,0.13138424,0.49915874,0.05028545,0.006608831,0.2514363,0.007789695,0.035867255,0.01746945
52,0.10691873,0.63231915,0.018284768,0.005190632,0.15832718,0.0041040834,0.05959067,0.015264747
53,0.10816632,0.59672856,0.012617584,0.005370603,0.19201577,0.0069739097,0.06449347,0.013633807
