,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.055929862,0.933681,0.0002136855,0.0010868774,0.0067332857,0.0019278438,0.00042685564,5.5189116e-07
1,0.080767,0.7748232,0.0045801224,0.014804249,0.030911025,0.04101042,0.05285495,0.00024903807
2,0.13938469,0.7579791,0.0053507425,0.006062368,0.02607434,0.06246857,0.0026313707,4.8806025e-05
3,0.1450567,0.5197546,0.05707058,0.048983335,0.07357542,0.10747668,0.039207943,0.00887466
4,0.23354696,0.49707577,0.035139784,0.027093744,0.016232712,0.1530282,0.037472967,0.000409883
5,0.02573891,0.6117062,0.14261977,0.05697888,0.16106433,0.00036966024,0.00087941514,0.0006428078
6,0.10505554,0.8406391,0.0029455232,0.017836513,0.016044049,0.0060125086,0.011461856,4.8734596e-06
7,0.100333944,0.40865532,0.086938284,0.19467661,0.097729966,0.03547378,0.0726573,0.0035347266
8,0.036086652,0.94593245,0.00043949473,0.0008602679,0.013792892,0.0013644313,0.001513846,1.0025463e-05
9,0.13337123,0.68027604,0.022838688,0.0144497175,0.123675875,0.01032457,0.013291367,0.0017725287
10,0.12225928,0.47349927,0.030061051,0.038037922,0.2221562,0.08756744,0.015101538,0.011317298
11,0.14206174,0.5503726,0.04494839,0.0044863177,0.2206717,0.011079782,0.025407616,0.00097182376
12,0.10370551,0.65759087,0.017775642,0.032876518,0.16429068,0.003205509,0.019942492,0.0006127712
13,0.11850704,0.7551962,0.006053268,0.0040426366,0.094950505,0.009036897,0.011986816,0.00022663033
14,0.07398634,0.6570092,0.01401657,0.03805804,0.21214324,0.0008852179,0.0033203436,0.00058101007
15,0.11817834,0.7989493,0.0020076314,0.007760599,0.06263008,0.0033066724,0.007150628,1.6795058e-05
16,0.12202447,0.70047903,0.024903404,0.04524984,0.07336181,0.006920184,0.02691483,0.00014638662
17,0.011084248,0.9857708,2.4136629e-05,0.0013679028,0.00033531597,0.0010572022,0.00036035423,2.8519004e-10
18,0.113870606,0.26590827,0.08924111,0.27670845,0.06808134,0.13205913,0.051999133,0.0021320162
19,0.17989571,0.60276026,0.012923756,0.012755919,0.13740346,0.0073915706,0.040144995,0.006724321
20,0.19976057,0.5143927,0.017241593,0.052835133,0.17360216,0.003960584,0.03607663,0.0021306481
21,0.20427679,0.54303515,0.017226057,0.013357726,0.20630871,0.0035499868,0.011666173,0.00057949935
22,0.1251851,0.49036962,0.013107887,0.082702614,0.24555822,0.0028232888,0.038799316,0.0014539429
23,0.2025866,0.6670198,0.0101556135,0.01362518,0.06769418,0.006973933,0.031768005,0.00017671692
24,0.19129382,0.62429637,0.023625841,0.0077663623,0.1311811,0.009054513,0.012309119,0.00047290418
25,0.13623583,0.43631998,0.047963876,0.054040663,0.26379988,0.009754094,0.038067672,0.013817934
26,0.034045085,0.6831576,0.0013655185,0.011735057,0.0011387813,0.2644553,0.004101883,7.2428287e-07
27,0.100852124,0.68873984,0.006935731,0.02591643,0.0038071983,0.17219439,0.0015486075,5.662492e-06
28,0.012892163,0.9226735,0.0004951485,0.058430694,0.004468415,0.0005198764,0.00052003475,1.5009132e-07
29,0.17096677,0.81024885,0.00024996654,0.005992999,0.010739233,0.00027479333,0.0015272258,9.143891e-08
30,0.18148308,0.4761936,0.044145804,0.023657605,0.24076642,0.012697474,0.01570007,0.005355889
31,0.16071022,0.47702572,0.0807208,0.03906882,0.11721352,0.013208778,0.101507574,0.010544637
32,0.19217615,0.47076336,0.025285872,0.023675935,0.24203497,0.002835276,0.034492146,0.00873623
33,0.20563823,0.4814996,0.0424982,0.012672726,0.19843128,0.0014528432,0.037649736,0.020157387
34,0.21084829,0.47340277,0.052898295,0.019662773,0.19606948,0.0011693196,0.036292218,0.009656917
35,0.23222324,0.53238297,0.050995626,0.014524669,0.12362467,0.002459507,0.031804495,0.0119848065
36,0.20738699,0.5185217,0.048136823,0.018858368,0.16572829,0.0007337629,0.03112586,0.009508233
37,0.19583961,0.47302154,0.09516379,0.035973478,0.14819798,0.0014734651,0.039232004,0.011098114
38,0.15416121,0.5882984,0.008236663,0.0049837483,0.20421988,0.00276511,0.035824884,0.0015100632
39,0.20233086,0.57448363,0.041846626,0.027001958,0.03167201,0.017347556,0.10495676,0.0003605334
40,0.13142495,0.6416235,0.14735478,0.006482583,0.028783504,0.017973814,0.02618321,0.00017368796
41,0.18978031,0.63324225,0.006052352,0.003865226,0.1322737,0.013040251,0.021684501,6.139775e-05
42,0.15731512,0.56996846,0.07083682,0.029703304,0.15244235,0.01133973,0.008349851,4.433973e-05
43,7.3413446e-08,7.9739286e-05,1.0666727e-08,1.2267963e-08,5.6322737e-08,4.992314e-05,0.99987024,3.274005e-11
44,0.23881258,0.6479496,0.005704159,0.0011970281,0.098775,0.0055183666,0.0019553013,8.798217e-05
45,0.19858709,0.46958232,0.072492115,0.041851122,0.17872958,0.0015311628,0.031813707,0.0054129134
46,0.16054417,0.5053929,0.021256594,0.033206753,0.22899655,0.010813339,0.035570942,0.0042187865
47,0.20715438,0.5141534,0.040468156,0.009715859,0.19079402,0.0014378339,0.026822172,0.009454126
48,0.23007971,0.56161714,0.032357953,0.006471264,0.11825518,0.0012755735,0.034268927,0.015674263
49,0.23339027,0.5162205,0.039438136,0.007028025,0.17360725,0.0009288487,0.022851573,0.0065354193
50,0.21258341,0.44862548,0.07051078,0.016294677,0.18715383,0.0016208804,0.046030406,0.017180553
51,0.2275894,0.49846166,0.059538912,0.008295582,0.14604324,0.0017147667,0.044874586,0.013481819
52,0.22875096,0.558445,0.048319593,0.012330343,0.101193815,0.0018938623,0.040556103,0.008510314
53,0.20924747,0.543431,0.05499604,0.015403018,0.11624525,0.002981843,0.047916934,0.009778411
54,0.18700375,0.4633247,0.04261247,0.04983215,0.18128698,0.004272421,0.05336137,0.018306172
55,0.21285047,0.5022519,0.05689672,0.012403094,0.15712383,0.002769986,0.047227867,0.008476157
56,0.19642492,0.45500085,0.04358805,0.013733384,0.24557954,0.010833099,0.025870956,0.008969229
57,0.10936289,0.83023226,0.0012449317,0.02013952,0.0049742884,0.007895719,0.026148366,1.953473e-06
58,0.20874773,0.73592615,0.00038744573,0.00056806905,0.043730687,0.007985135,0.0026534796,1.330377e-06
59,0.2428691,0.5630665,0.022708943,0.0046497006,0.13044718,0.0048124995,0.023713043,0.007733017
60,0.20974617,0.5051757,0.07667997,0.022646355,0.14203337,0.0019986918,0.03210329,0.009616495
61,0.23640452,0.5477575,0.043097034,0.0066753505,0.12681252,0.0025025257,0.024469381,0.012281129
62,0.2379123,0.4771837,0.04635366,0.0073776287,0.17628781,0.0028018716,0.039585367,0.012497615
63,0.22741266,0.4905569,0.051568124,0.0065936083,0.1744367,0.000503908,0.035708476,0.013219614
64,0.23346098,0.48224312,0.050061394,0.0086037265,0.17344494,0.0028665913,0.036884334,0.012434914
65,0.23366629,0.5084349,0.044214908,0.008584774,0.15593928,0.002537475,0.037337694,0.009284654
66,0.23261686,0.5359549,0.0365441,0.003974257,0.14151695,0.002223115,0.037425347,0.009744438
