,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.007586195,0.99084926,8.496756e-05,0.00035534165,1.4104868e-05,0.00056416716,0.0005459042,8.870214e-08
1,0.022845306,0.881059,0.0062297196,0.006043361,3.6042275e-05,0.0258632,0.05792198,1.4293441e-06
2,0.105714284,0.84155285,0.0031267945,0.0048584137,0.00017543347,0.043243367,0.0013005065,2.8234901e-05
3,0.17993353,0.57259285,0.027926456,0.04264574,0.0024447371,0.14718263,0.024470981,0.0028030793
4,0.19266139,0.53095514,0.009994142,0.007828291,5.1881398e-05,0.20725137,0.050887477,0.00037026557
5,0.012159382,0.6870172,0.12736012,0.092558734,0.07775942,0.0005092988,0.002515613,0.00012015057
6,0.06424501,0.91989243,0.0020309668,0.0050210473,4.0804738e-05,0.0010840094,0.0076850615,6.136635e-07
7,0.10971361,0.49855918,0.0585364,0.20264018,0.044314384,0.03154324,0.05458403,0.000109016
8,0.0110520525,0.9868428,0.00016144599,0.0003549528,0.00020503705,0.0003143396,0.001055245,1.4109894e-05
9,0.11012313,0.83266664,0.015339981,0.016991515,0.0039601275,0.003499324,0.017292611,0.000126688
10,0.123326376,0.5838051,0.021610854,0.09953791,0.03944561,0.11194243,0.018391652,0.0019400661
11,0.17927013,0.6948011,0.002489061,0.030057862,0.06781955,0.00374389,0.02178282,3.5590216e-05
12,0.03823606,0.86107856,0.009257174,0.037222188,0.04797459,0.0009884883,0.005233532,9.3779945e-06
13,0.07999327,0.8768168,0.0022627495,0.021672133,0.004318467,0.00246044,0.0124702845,5.849147e-06
14,0.072641544,0.7705381,0.011277822,0.08233723,0.05437167,0.0006328192,0.00817549,2.5298827e-05
15,0.07052788,0.8630077,0.0009199395,0.05686863,0.0074442066,0.00011656625,0.0011140726,1.0522123e-06
16,0.10233918,0.78444254,0.023632083,0.05656708,0.009245919,0.0012570125,0.022498483,1.7621602e-05
17,0.0007934969,0.99713683,2.1085772e-05,0.00069580023,8.567294e-07,0.00077998417,0.0005719723,4.7643844e-09
18,0.18646291,0.23270202,0.011354098,0.27202493,0.07806598,0.20679067,0.01037727,0.0022220758
19,0.18490873,0.72218317,0.0059691393,0.036216453,0.009599948,0.0035903072,0.03669392,0.00083829724
20,0.2564344,0.5656706,0.004772562,0.07571949,0.034977246,0.0009012915,0.060477685,0.0010466516
21,0.21350805,0.6665608,0.00062035286,0.06340168,0.050013278,0.00092410983,0.0048885737,8.3055886e-05
22,0.10263355,0.688279,0.005092558,0.11831678,0.046043903,0.00066735235,0.03892067,4.6156267e-05
23,0.22256237,0.6855776,0.0037222581,0.032789532,0.0027116279,0.00095610454,0.051404912,0.0002756354
24,0.1848575,0.76993185,0.0040092226,0.02983474,0.0019406354,0.0031126118,0.0061774994,0.00013591297
25,0.18835731,0.5211585,0.0026126895,0.07753254,0.17475931,0.013776372,0.02132333,0.00047998474
26,0.012441161,0.64963317,0.004560317,0.041384976,3.0364458e-06,0.29059955,0.001343845,3.394713e-05
27,0.06308967,0.70343107,0.0029505345,0.031836186,5.513554e-05,0.19693322,0.0016732593,3.0904157e-05
28,0.0029638682,0.9649486,0.0008355221,0.028951757,0.0013017737,0.00044141302,0.00055527873,1.794971e-06
29,0.08905119,0.90467125,4.4906446e-05,0.0045845816,7.484245e-05,0.00019255956,0.0013805932,7.8231736e-08
30,0.19255137,0.58070546,0.051122718,0.105534956,0.05660207,0.0009183975,0.01193561,0.00062937784
31,0.16279683,0.5617353,0.024318172,0.09034237,0.002916462,0.008466485,0.14791963,0.0015047925
32,0.2356895,0.495621,0.010733768,0.036537807,0.17769766,0.0015646861,0.03655325,0.005602416
33,0.2080311,0.511174,0.032978762,0.055399947,0.13124724,0.0011048693,0.044327192,0.015736856
34,0.19888231,0.46575555,0.03720183,0.08114024,0.14621046,0.0015596948,0.054863494,0.014386439
35,0.2354739,0.58167994,0.023809485,0.06209449,0.04081255,0.0011477267,0.04318889,0.011792993
36,0.2374475,0.549888,0.042623054,0.031376645,0.09615153,0.001442683,0.030056328,0.011014176
37,0.2065667,0.49511197,0.080152884,0.07364138,0.08389566,0.0021101185,0.047251213,0.011270109
38,0.1269831,0.7648046,0.00058743317,0.060422197,0.0028974724,0.00053483585,0.043748662,2.1739754e-05
39,0.20112824,0.6360036,0.0074167564,0.025992284,4.5618624e-05,0.012057109,0.11727969,7.667128e-05
40,0.18405384,0.7174877,0.005773169,0.017369062,0.00028451227,0.029631488,0.045334525,6.572658e-05
41,0.15452828,0.77628946,0.0016331087,0.043552358,0.007630849,0.0015248668,0.014833646,7.4305467e-06
42,0.1634942,0.64759433,0.023942126,0.055254184,0.08235647,0.0024291824,0.024783343,0.00014617383
43,0.014329015,0.0023239495,0.014875818,0.0019033059,0.0021505773,0.00039566835,0.9640094,1.22704805e-05
44,0.25635272,0.66211534,0.0006955674,0.070180945,0.0036812646,0.00029687074,0.0066580395,1.9255192e-05
45,0.21860996,0.49257815,0.0658756,0.061250973,0.11824419,0.0010030313,0.034380645,0.008057437
46,0.20489937,0.634863,0.008240031,0.077782005,0.034063008,0.0019025874,0.037701856,0.0005481362
47,0.25127044,0.5557852,0.02417585,0.053203072,0.061693437,0.0005784657,0.03884631,0.014447209
48,0.21946058,0.60777104,0.032558315,0.05284214,0.025827672,0.0010413557,0.043398548,0.017100282
49,0.20903866,0.55452204,0.022382436,0.07441111,0.09427067,0.0005735964,0.03534323,0.009458237
50,0.20057675,0.46188575,0.07297353,0.04444716,0.14093095,0.0021140266,0.05453776,0.022534091
51,0.21689716,0.52338547,0.045783408,0.022808343,0.10386581,0.0030966257,0.06364938,0.020513816
52,0.23416369,0.5958335,0.031476565,0.043962777,0.013021954,0.0015440444,0.064854115,0.01514343
53,0.24557383,0.55919266,0.020736258,0.08649132,0.0055395076,0.0041596326,0.07200442,0.0063023823
54,0.20750408,0.5195253,0.022927126,0.13749745,0.010949262,0.01102675,0.08510792,0.0054620667
55,0.202132,0.5608315,0.024450792,0.09931144,0.02066836,0.0056130495,0.07988271,0.007110155
56,0.2289004,0.60688716,0.014933113,0.036872827,0.074504144,0.0052348156,0.031158656,0.0015089482
57,0.070849925,0.9038807,0.0019494015,0.008156942,0.00020638962,0.0008200745,0.01413521,1.3787054e-06
58,0.18211192,0.8086317,0.00011507889,0.0011504763,0.0001210109,0.00038591473,0.007480158,3.7758946e-06
59,0.26801735,0.5952051,0.010109709,0.048854776,0.032191794,0.0009490661,0.031617325,0.013054821
60,0.2021418,0.5254949,0.07104594,0.054051474,0.087830245,0.0017631061,0.040015582,0.017657032
61,0.24341384,0.60508335,0.019412374,0.034487676,0.039172124,0.0015984802,0.040895633,0.015936486
