启动时间: 2025-11-29 22:27:52
参数: Namespace(sc_h5ad='../data/PDAC/reference_example.h5ad', st_h5ad='../data/PDAC/spatial_example.h5ad', device='cuda', epochs=None, epochs_sc=300, epochs_st=1500, batch_size=256, lr=0.001, layer='counts', labels_key='celltype', log_file='log.txt', prop_csv='destvi_predicted_proportions_mmdAndL1.csv', use_dual_graph=True, k_spatial=6, k_expr=10, spatial_key='spatial', gat_hidden=128, gat_heads=4, use_pseudo=True, pseudo_ratio=0.5, pseudo_cells_min=5, pseudo_cells_max=20, pseudo_reg=5.0, expr_threshold=0.7, allow_pseudo_pseudo=False, lr_scheduler='cosine', lr_min=1e-05, grad_clip=1.0, ema_decay=0.0)
实际使用 epochs_sc=300, epochs_st=1500
🔥 启用双图模式：k_spatial=6, k_expr=10
Loading sc AnnData: ../data/PDAC/reference_example.h5ad
AnnData object with n_obs × n_vars = 1926 × 19736
    obs: 'celltype', 'Sample'
Loading st AnnData: ../data/PDAC/spatial_example.h5ad
AnnData object with n_obs × n_vars = 428 × 25753
    obs: 'annotation'
    obsm: 'spatial'
预处理 sc 和 st AnnData ...
预处理完毕，交集基因数=9672
✅ ST数据：已生成 'normalized_log' layer (Scale 10k + Log1p)
🔥 开始生成伪点...
✅ 生成 214 个伪点
cell_type_mapping（与SC编码顺序一致）: ['Acinar_cells' 'Cancer_clone_A' 'Cancer_clone_B'
 'Ductal_antigen_presenting' 'Ductal_centroacinar' 'Ductal_high_hypoxic'
 'Ductal_terminal' 'Endocrine_cells' 'Endothelial_cells' 'Fibroblasts'
 'Macrophages_A' 'Macrophages_B' 'Mast_cells' 'Monocytes' 'RBCs'
 'T_cells_&_NK_cells' 'Tuft_cells' 'mDCs_A' 'mDCs_B' 'pDCs']
Instantiating CondSCVI: n_input=9672, n_labels=20
Training CondSCVI for 300 epochs on sc data
[CondSCVI] Epoch 1/300 loss=64711.9028, reconstruction_loss=64711.8833, kl_local=2.9313, elbo=64714.8149 time=0.6s
[CondSCVI] Epoch 2/300 loss=55522.2026, reconstruction_loss=55521.9795, kl_local=13.1983, elbo=55535.1777 time=0.2s
[CondSCVI] Epoch 3/300 loss=34065.0178, reconstruction_loss=34064.3887, kl_local=23.0880, elbo=34087.4766 time=0.2s
[CondSCVI] Epoch 4/300 loss=9180.9715, reconstruction_loss=9179.9468, kl_local=26.7057, elbo=9206.6525 time=0.2s
[CondSCVI] Epoch 5/300 loss=5123.4769, reconstruction_loss=5121.9573, kl_local=30.7839, elbo=5152.7411 time=0.2s
[CondSCVI] Epoch 6/300 loss=4294.7341, reconstruction_loss=4292.8012, kl_local=31.9607, elbo=4324.7620 time=0.2s
[CondSCVI] Epoch 7/300 loss=3865.6155, reconstruction_loss=3862.7003, kl_local=40.6072, elbo=3903.3075 time=0.2s
[CondSCVI] Epoch 8/300 loss=3637.8514, reconstruction_loss=3633.6759, kl_local=50.4313, elbo=3684.1073 time=0.2s
[CondSCVI] Epoch 9/300 loss=3524.3666, reconstruction_loss=3518.8831, kl_local=58.4428, elbo=3577.3259 time=0.2s
[CondSCVI] Epoch 10/300 loss=3513.5029, reconstruction_loss=3507.0435, kl_local=61.6167, elbo=3568.6601 time=0.2s
[CondSCVI] Epoch 11/300 loss=3489.2594, reconstruction_loss=3482.0172, kl_local=62.4403, elbo=3544.4575 time=0.2s
[CondSCVI] Epoch 12/300 loss=3475.6740, reconstruction_loss=3467.8192, kl_local=61.8146, elbo=3529.6339 time=0.2s
[CondSCVI] Epoch 13/300 loss=3451.8416, reconstruction_loss=3443.6421, kl_local=59.3661, elbo=3503.0083 time=0.2s
[CondSCVI] Epoch 14/300 loss=3432.8457, reconstruction_loss=3424.7150, kl_local=54.4937, elbo=3479.2086 time=0.2s
[CondSCVI] Epoch 15/300 loss=3420.1665, reconstruction_loss=3412.2856, kl_local=49.1507, elbo=3461.4364 time=0.2s
[CondSCVI] Epoch 16/300 loss=3389.0727, reconstruction_loss=3381.0090, kl_local=47.0097, elbo=3428.0187 time=0.2s
[CondSCVI] Epoch 17/300 loss=3403.3173, reconstruction_loss=3394.8959, kl_local=46.1245, elbo=3441.0203 time=0.2s
[CondSCVI] Epoch 18/300 loss=3392.5121, reconstruction_loss=3384.0889, kl_local=43.4856, elbo=3427.5745 time=0.2s
[CondSCVI] Epoch 19/300 loss=3391.1930, reconstruction_loss=3382.5918, kl_local=41.9867, elbo=3424.5785 time=0.2s
[CondSCVI] Epoch 20/300 loss=3416.6550, reconstruction_loss=3407.3557, kl_local=43.0565, elbo=3450.4123 time=0.2s
[CondSCVI] Epoch 21/300 loss=3386.5888, reconstruction_loss=3376.7823, kl_local=43.1836, elbo=3419.9659 time=0.1s
[CondSCVI] Epoch 22/300 loss=3406.4918, reconstruction_loss=3396.3777, kl_local=42.4627, elbo=3438.8404 time=0.1s
