,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.07090956,0.19566023,0.7001534,1.0781629e-06,3.6047575e-11,0.031918265,0.0013574404,1.8766293e-12
1,0.07537227,0.07170115,0.72242767,0.00068540836,6.9837913e-09,0.08577842,0.044034503,5.514073e-07
2,0.056111503,0.11533031,0.6926747,0.00015198463,3.983409e-08,0.03798402,0.09774734,9.563706e-08
3,0.10886821,0.0949959,0.50650644,0.004539772,2.3381719e-07,0.083563864,0.20146611,5.9467584e-05
4,0.0383789,0.07993615,0.42033565,0.005470029,5.6467127e-07,0.19043931,0.26536116,7.8194105e-05
5,0.044611398,0.14474116,0.5513978,0.0002845143,2.1599373e-08,0.07496955,0.18399426,1.3026336e-06
6,0.04006887,0.13041478,0.7193325,1.6956907e-05,8.874635e-11,0.086100705,0.024066165,2.4120737e-09
7,0.17339715,0.20312409,0.36359802,0.0045033586,2.3277664e-09,0.12935625,0.12580201,0.00021913536
8,0.0068300245,0.37574956,0.61567295,3.079733e-07,2.1793147e-12,0.0016189329,0.0001283327,4.5231095e-14
9,0.15888992,0.09806516,0.6292443,0.00054631854,1.7553752e-07,0.08397583,0.02927753,7.910498e-07
10,0.15116087,0.10047471,0.46502045,0.010584865,2.7012832e-06,0.10977691,0.16273364,0.00024584238
11,0.12613067,0.18309106,0.548368,0.0018824651,3.0594558e-07,0.08168866,0.058825973,1.2859959e-05
12,0.086989336,0.09820392,0.69789046,0.00022513205,1.483362e-10,0.08045761,0.036233265,2.9753826e-07
13,0.08464624,0.101805486,0.7383655,1.6933565e-05,1.1339479e-10,0.058444638,0.016721241,7.46951e-10
14,0.083450854,0.14697124,0.6562289,0.00027614846,2.9951284e-08,0.089609034,0.023463579,2.0313988e-07
15,0.067178786,0.12541285,0.757634,6.034776e-06,8.096771e-10,0.042371932,0.007396403,4.168614e-11
16,0.08065875,0.12190844,0.6718786,0.00011938226,1.4972905e-08,0.06932502,0.056109786,3.859124e-08
17,0.00817493,0.06082193,0.9005983,1.4822493e-07,1.8566358e-13,0.02973273,0.00067206175,3.979938e-14
18,0.01971727,0.17190808,0.27085504,0.14534058,2.4357905e-07,0.108985074,0.2812023,0.0019914156
19,0.3207608,0.18992679,0.39318037,0.0010051449,5.272203e-10,0.05933457,0.03578985,2.5422544e-06
20,0.20630659,0.24339618,0.36058053,0.008800452,3.401075e-06,0.11182781,0.0689911,9.388079e-05
21,0.3057662,0.2834162,0.2966698,0.00039943148,8.391817e-08,0.06491842,0.048828725,1.0766493e-06
22,0.12898342,0.20673114,0.46885222,0.002691091,3.6466204e-08,0.101241395,0.09144962,5.1103612e-05
23,0.23370197,0.12526183,0.51692015,0.00036529324,2.176671e-12,0.10622115,0.017529158,4.9683075e-07
24,0.27535447,0.20639548,0.44511655,0.00042394357,7.0791636e-11,0.051421188,0.02128781,5.258124e-07
25,0.057236746,0.07879965,0.4940607,0.02362633,3.2849014e-06,0.22382882,0.12103241,0.0014119769
26,0.028253648,0.10660432,0.4970637,0.00039947627,1.7398035e-09,0.04573675,0.32194135,7.690095e-07
27,0.017320158,0.058758,0.62472785,0.0011162445,7.3370856e-08,0.08338133,0.21469335,2.9427572e-06
28,0.0007317261,0.27770445,0.72067076,2.61102e-07,2.2285191e-15,0.0006006015,0.00029212644,1.0839321e-13
29,0.007309834,0.2864327,0.70328295,3.7635057e-06,7.761855e-11,0.0025796315,0.0003911292,1.9300295e-12
30,0.33759397,0.3090489,0.17949873,0.020120949,1.112228e-06,0.08420607,0.06895337,0.00057687605
31,0.21089418,0.22992007,0.38178632,0.013857448,1.3826167e-06,0.11121434,0.052174944,0.00015127723
32,0.3244939,0.26152155,0.22584553,0.001220181,2.1476152e-08,0.082313694,0.10458951,1.5589938e-05
33,0.40303504,0.19935173,0.18794543,0.010056422,6.0516777e-07,0.092189275,0.10719777,0.00022368613
34,0.36011794,0.25116414,0.1571465,0.012868781,1.8643307e-06,0.11057102,0.1076839,0.0004458779
35,0.42584544,0.17397475,0.26682875,0.0022229645,1.6233049e-08,0.08679302,0.044327825,7.281782e-06
36,0.38369918,0.26851773,0.180345,0.00642779,1.4230288e-07,0.080439545,0.08045662,0.00011399822
37,0.32928386,0.30183062,0.14104334,0.021912588,3.5595192e-06,0.10246304,0.102197915,0.0012650287
38,0.2650438,0.28216168,0.36473942,0.00011870373,2.031496e-11,0.07380061,0.01413571,6.6230484e-08
39,0.24434794,0.21391004,0.40743712,0.0012108826,1.3645736e-12,0.07463656,0.05845462,2.8504153e-06
40,0.075178325,0.215779,0.64543366,0.0001034884,6.4617296e-12,0.053973876,0.009531595,1.1686535e-08
41,0.17726079,0.17605509,0.54014075,0.00020394899,9.705983e-09,0.07490562,0.031433597,1.3681905e-07
42,0.17737809,0.20522566,0.45597595,0.00023561255,2.8970632e-08,0.10234741,0.05883616,1.1407907e-06
43,1.8725301e-06,0.00020995594,0.9986759,1.3359537e-05,1.7908576e-15,1.1054274e-05,0.0010879413,4.2429338e-11
44,0.2751401,0.4297952,0.25929916,0.0003115144,3.8821874e-08,0.028279385,0.0071744565,1.6047627e-08
45,0.32707682,0.36100554,0.102729514,0.012225117,1.802498e-06,0.085532434,0.11106439,0.00036436273
46,0.2509628,0.22364098,0.3767394,0.003570022,5.0736696e-07,0.08755468,0.057516094,1.5513897e-05
47,0.370393,0.29143786,0.20739824,0.009128907,2.6760596e-08,0.07179278,0.04968186,0.00016739675
48,0.42571837,0.2838064,0.17217073,0.0016935422,1.5230569e-08,0.0782005,0.038403735,6.709989e-06
49,0.49551526,0.22363527,0.13697387,0.003251571,2.8890055e-08,0.074193574,0.06639695,3.3451743e-05
50,0.36246392,0.23153438,0.17363398,0.012762517,1.117256e-06,0.11248301,0.10671892,0.0004020963
51,0.44316295,0.2357467,0.13738732,0.011428687,7.810006e-08,0.09785043,0.0740634,0.00036046008
52,0.4025145,0.28872055,0.15997422,0.0023342597,2.1904582e-07,0.092096575,0.054331955,2.770014e-05
53,0.29475698,0.2985444,0.2734558,0.002660205,1.2152379e-09,0.095866665,0.034702912,1.2962343e-05
54,0.36298525,0.16936877,0.25373146,0.011124046,4.6908295e-07,0.12134396,0.08121253,0.00023350811
55,0.41429284,0.20514849,0.19953622,0.012951483,2.927392e-07,0.102285266,0.06555778,0.00022767953
56,0.23098889,0.14582515,0.42580044,0.0065838797,4.7134268e-08,0.111366615,0.079353906,8.108886e-05
57,0.039111845,0.097756304,0.76284873,9.063818e-05,1.4741824e-12,0.061602086,0.038590312,1.2943902e-08
58,0.20719075,0.27483147,0.4803502,5.085706e-05,1.0468783e-08,0.033376314,0.0042004553,3.7295504e-09
59,0.42723137,0.34105676,0.15061949,0.0008348147,2.0826583e-07,0.04866828,0.03158819,7.628863e-07
60,0.38372803,0.29983717,0.12094299,0.011638458,1.3552255e-06,0.0960616,0.087489106,0.0003012507
61,0.42244828,0.21991725,0.2436527,0.0016556293,2.4404966e-07,0.06723631,0.04508315,6.395591e-06
62,0.4223621,0.23693472,0.16667542,0.007653544,9.1269055e-07,0.09225229,0.07398609,0.0001349533
63,0.36693573,0.25732827,0.19753052,0.0052710073,6.5899805e-08,0.09173294,0.08108531,0.00011615413
64,0.44145176,0.23491918,0.11948001,0.014398787,3.638878e-07,0.09057361,0.098517284,0.00065904553
65,0.38850063,0.23355423,0.19783054,0.013103352,7.098903e-07,0.1070898,0.059715807,0.00020499501
66,0.46424928,0.19677162,0.18644024,0.0034008801,6.493264e-09,0.094695464,0.054387327,5.518785e-05
67,0.4493033,0.19683473,0.14655569,0.0096329395,3.506816e-08,0.12324954,0.07420722,0.0002165348
68,0.33671582,0.42380062,0.070970885,0.0036860197,3.193786e-08,0.08775892,0.07701952,4.8161208e-05
69,0.35935917,0.19894029,0.16576642,0.025082625,3.3989331e-06,0.12473047,0.12415855,0.001959097
70,0.2342665,0.17489953,0.25688326,0.032601282,1.938355e-08,0.12359872,0.17388612,0.0038645687
71,0.22885765,0.13145997,0.45885602,0.0025089413,3.4421745e-08,0.108339,0.06995129,2.70875e-05
72,0.06355768,0.04732378,0.5215523,0.05765808,9.357762e-07,0.18172131,0.12451128,0.0036746298
73,0.01172279,0.06248815,0.697632,0.004203033,5.7862035e-09,0.11902984,0.10491006,1.4030619e-05
74,0.17194399,0.27533323,0.4905667,5.543571e-06,2.6662648e-09,0.05118917,0.010961334,4.508462e-10
75,0.31692487,0.3517943,0.20349614,0.0022723507,4.290441e-07,0.06941165,0.056085188,1.5054653e-05
76,0.37254715,0.34266034,0.18207088,0.0024988884,3.908029e-07,0.06880115,0.03141408,7.051141e-06
77,0.324564,0.3477443,0.19209668,0.0043232515,7.99817e-07,0.07755978,0.053674407,3.6810914e-05
78,0.41131878,0.20393263,0.15540516,0.016934168,6.6286987e-07,0.09910143,0.11264922,0.00065791985
79,0.35207668,0.27934372,0.14589137,0.025998916,4.779373e-06,0.10524238,0.09023116,0.0012109535
80,0.09661701,0.18045452,0.060828015,0.19087319,3.2809735e-06,0.20535587,0.23136722,0.03450085
81,0.34860024,0.2624061,0.14827982,0.017584657,2.9396306e-06,0.120290816,0.10225598,0.0005794301
82,0.40237966,0.2553456,0.1671761,0.013492541,3.4062765e-07,0.0916364,0.06966658,0.0003027235
83,0.42442372,0.24285862,0.20073883,0.00372805,2.3795128e-08,0.076110676,0.052108165,3.1926553e-05
84,0.3737345,0.18102553,0.16427252,0.027161755,9.496826e-08,0.13835648,0.11341243,0.0020366774
85,0.37316304,0.28653505,0.16017886,0.00821082,1.1496135e-07,0.09068626,0.081053354,0.0001725073
86,0.38067248,0.2354576,0.17033775,0.011892833,1.4533065e-06,0.09036545,0.11110251,0.00016987677
87,0.4366461,0.16752122,0.24444759,0.003618998,6.256339e-09,0.09244808,0.055284835,3.3202614e-05
88,0.20656481,0.13991663,0.41944054,0.010489442,3.0152146e-06,0.13393365,0.089476824,0.00017513086
89,0.08718572,0.10983508,0.51796454,0.021105496,1.2631208e-06,0.14768457,0.115814745,0.00040858856
90,0.015943475,0.14023572,0.6088695,0.0018790683,8.568912e-10,0.088880725,0.14418836,3.1549512e-06
91,0.06261814,0.20922598,0.26855797,0.010937366,2.170861e-06,0.12985423,0.31832504,0.00047902096
92,0.0044627786,0.74931103,0.24457496,0.000733234,4.1736078e-10,0.0007242299,0.00019364264,3.5676975e-10
93,0.3303268,0.23857658,0.26278314,0.00913828,1.2449984e-06,0.06883873,0.09015739,0.00017782979
94,0.43042877,0.25269067,0.14711541,0.0029678077,6.0227188e-09,0.084945835,0.08181236,3.9096438e-05
95,0.3312036,0.33261666,0.17194991,0.006969393,8.736022e-07,0.0924774,0.064640455,0.00014174021
96,0.28962836,0.3363257,0.17278554,0.009449606,7.2980737e-07,0.108002685,0.08363107,0.00017633542
97,0.032117,0.1825647,0.02048743,0.20729817,5.07811e-07,0.23859414,0.2717804,0.047157608
98,0.18162566,0.16274607,0.0669476,0.1928892,4.091206e-06,0.20522681,0.15971875,0.03084182
99,0.022550652,0.16984506,0.01118676,0.28704053,3.3094727e-07,0.22551507,0.24154034,0.04232124
100,0.020145075,0.15994596,0.014071172,0.28422004,7.6200416e-07,0.18580778,0.30176625,0.034043014
101,0.14312927,0.2438922,0.05884443,0.14330867,2.0383613e-06,0.19005829,0.17745984,0.043305237
102,0.40067723,0.24391526,0.15804268,0.0070549813,2.1730575e-08,0.10478614,0.08538406,0.00013956307
103,0.39702561,0.255013,0.18375431,0.0045216796,5.1569e-07,0.08635892,0.07325904,6.6885004e-05
104,0.4093365,0.24991761,0.15287213,0.00825167,6.989865e-10,0.09699693,0.082431875,0.0001932286
105,0.37298247,0.30674988,0.15664615,0.0028210715,9.602346e-08,0.08543476,0.075327456,3.8071496e-05
106,0.29957724,0.14347783,0.24195945,0.06708036,3.6176783e-07,0.11241052,0.13151954,0.0039747264
107,0.18560559,0.12258774,0.38008708,0.012710218,2.0724506e-06,0.15499383,0.14370261,0.0003108889
108,0.08350194,0.10445868,0.4034596,0.02984151,5.0947465e-06,0.17708337,0.20043941,0.0012103845
109,0.017366467,0.1582692,0.5079304,0.017490948,5.2470146e-08,0.09740386,0.20144711,9.19626e-05
110,0.04591323,0.12342995,0.7690933,0.00021759306,8.064695e-11,0.054561555,0.006784319,6.622469e-08
111,2.6244663e-06,5.5142016e-05,0.99985766,2.3088571e-06,2.8064726e-21,4.732996e-05,3.487403e-05,6.1063985e-13
112,0.09130643,0.52701026,0.19690439,0.0029666706,6.529932e-07,0.10398005,0.077785045,4.6527e-05
113,0.08995295,0.18203829,0.12813751,0.054600343,1.6475849e-07,0.25213295,0.2850498,0.008088009
114,0.3936639,0.29595143,0.17499918,0.0047340966,6.066202e-07,0.07704301,0.053555373,5.2346502e-05
115,0.39326516,0.2588765,0.1996636,0.0015370697,2.778574e-08,0.09166049,0.054986853,1.0310971e-05
116,0.2777818,0.25136492,0.11982115,0.042111404,5.9706686e-06,0.1319647,0.17212912,0.004820918
117,0.17261486,0.22583999,0.06315101,0.19574666,5.4001844e-06,0.17572665,0.14069755,0.026217839
118,0.0059628394,0.19348475,0.0023992585,0.3269435,6.1321096e-08,0.17805043,0.27353308,0.019626077
119,0.0155045055,0.16154517,0.005055485,0.3746012,2.6405823e-07,0.17211458,0.24598105,0.025197754
120,0.013905036,0.21437958,0.0044138473,0.24113467,2.0592161e-07,0.19041933,0.3052972,0.030450162
121,0.013333249,0.15689996,0.008098385,0.31469566,5.029148e-07,0.18934217,0.28806788,0.029562175
122,0.02232855,0.15759796,0.010325502,0.33470815,5.796143e-07,0.18978404,0.24888931,0.036365863
123,0.12895773,0.17729957,0.086379185,0.18820545,6.31321e-06,0.19184594,0.19066936,0.03663645
124,0.32678503,0.23041594,0.21211018,0.01599857,2.0217765e-06,0.10822834,0.106039,0.00042087113
125,0.28972384,0.25438824,0.18924634,0.031423338,1.2285744e-06,0.11934206,0.11436713,0.0015077762
126,0.39564782,0.3166203,0.18992715,0.0003800238,6.221565e-08,0.06812988,0.029294318,4.8070945e-07
127,0.28199783,0.18494992,0.331943,0.017639948,3.6317592e-06,0.096863724,0.086207144,0.00039479556
128,0.19573002,0.15091807,0.42631298,0.020914052,4.450824e-06,0.107265614,0.09840807,0.00044674313
129,0.104702696,0.09278826,0.4297622,0.03712986,8.242936e-06,0.15234923,0.181639,0.0016204519
130,0.08978832,0.18894114,0.3005321,0.06209428,6.721126e-06,0.12823357,0.22802612,0.0023778132
131,0.04553149,0.058595423,0.7536796,0.0011723151,2.5075213e-09,0.09514389,0.045873273,4.1108515e-06
132,3.4187788e-09,2.9801568e-05,0.9998683,1.0413067e-05,5.1069486e-18,4.647985e-08,9.1428716e-05,2.0927821e-12
133,0.05182605,0.7547724,0.19036952,0.00016544724,3.5506034e-09,0.001826535,0.0010399523,8.9000973e-10
134,0.1551744,0.46536726,0.24385893,0.0043623517,1.7374376e-06,0.046397783,0.08481143,2.6102683e-05
135,0.11490888,0.25583154,0.38001376,0.02742962,6.3146476e-06,0.1095724,0.1114617,0.0007757814
136,0.24160343,0.24844567,0.37050468,0.0030966657,1.2909474e-07,0.087675616,0.048661653,1.21578705e-05
137,0.30973786,0.20436868,0.21829157,0.014414022,6.131124e-08,0.1319309,0.12071677,0.00054011185
138,0.32666525,0.27585882,0.12576608,0.029501995,2.3080634e-07,0.12217388,0.117212914,0.0028207786
139,0.02925878,0.16631752,0.018337904,0.22048287,1.2079241e-06,0.21836118,0.29165393,0.055586528
140,0.014482576,0.15710673,0.00939089,0.3274277,4.0702866e-07,0.15781625,0.3147226,0.01905292
141,0.0063800593,0.1503274,0.0031607084,0.29749528,6.6975e-08,0.17855321,0.3311964,0.03288692
142,0.010712261,0.13347465,0.004645315,0.47796196,1.5355943e-07,0.14002636,0.20377876,0.02940055
